date,tailwater_tdg
2005-07-28 00:00:00,117.7865
2005-07-28 01:00:00,117.6547
2005-07-28 02:00:00,117.7865
2005-07-28 03:00:00,117.9182
2005-07-28 22:00:00,117.3455
2005-07-28 23:00:00,117.0827
2005-07-29 00:00:00,117.3455
2005-07-29 01:00:00,117.3455
2005-07-29 02:00:00,117.3227
2005-07-29 03:00:00,117.0603
2005-07-29 04:00:00,114.4356
2005-07-29 22:00:00,117.5852
2005-07-29 23:00:00,117.5622
2005-07-30 00:00:00,117.6932
2005-07-30 01:00:00,118.4796
2005-07-30 02:00:00,118.6107
2005-07-30 03:00:00,118.5863
2005-07-30 04:00:00,114.3978
2005-07-30 22:00:00,118.8728
2005-07-30 23:00:00,118.7417
2005-07-31 00:00:00,118.6107
2005-07-31 01:00:00,118.3485
2005-07-31 02:00:00,118.4554
2005-07-31 03:00:00,118.3245
2005-07-31 04:00:00,114.7905
2005-07-31 22:00:00,117.8711
2005-07-31 23:00:00,117.8477
2005-08-01 00:00:00,117.7165
2005-08-01 01:00:00,117.6932
2005-08-01 02:00:00,117.6932
2005-08-01 03:00:00,117.6932
2005-08-01 04:00:00,117.0156
2005-08-01 22:00:00,118.4554
2005-08-01 23:00:00,118.4554
2005-08-02 00:00:00,118.1936
2005-08-02 01:00:00,118.3245
2005-08-02 02:00:00,118.0391
2005-08-02 03:00:00,118.3006
2005-08-02 04:00:00,117.2548
2005-08-02 22:00:00,117.0156
2005-08-02 23:00:00,117.0156
2005-08-03 00:00:00,117.0156
2005-08-03 01:00:00,117.1241
2005-08-03 02:00:00,116.9934
2005-08-03 03:00:00,117.1241
2005-08-03 04:00:00,116.8627
2005-08-04 22:00:00,117.8477
2005-08-04 23:00:00,117.7165
2005-08-05 22:00:00,117.5852
2005-08-05 23:00:00,117.3
2005-08-06 00:00:00,117.6932
2005-08-06 01:00:00,117.6932
2005-08-06 02:00:00,117.8243
2005-08-06 03:00:00,117.5392
2005-08-06 04:00:00,117.6932
2005-08-06 22:00:00,117.7165
2005-08-06 23:00:00,117.7165
2005-08-07 00:00:00,117.8477
2005-08-07 01:00:00,117.3
2005-08-08 22:00:00,117.3455
2005-08-08 23:00:00,117.3455
2005-08-09 00:00:00,117.2141
2005-08-09 22:00:00,117.3227
2005-08-10 22:00:00,118.562
2005-08-10 23:00:00,118.562
2005-08-11 00:00:00,118.1461
2005-08-11 01:00:00,117.1017
2005-08-11 02:00:00,117.2323
2005-08-11 22:00:00,119.6078
2005-08-11 23:00:00,119.8692
2005-08-12 00:00:00,119.9999
2005-08-12 01:00:00,119.9999
2005-08-12 02:00:00,120.1306
2005-08-12 03:00:00,118.4313
2005-08-12 04:00:00,118.6927
2005-08-17 20:00:00,118.8157
2005-08-17 21:00:00,118.421
2005-08-17 22:00:00,118.421
